,CN_PPI,CN_IP,CN_EX_YoY,US_PPI,US_IP,EA_PPI,EA_IP,EA_EX_YoY,JP_PPI,JP_IP,JP_EX_YoY,KR_PPI,KR_IP,KR_EX_YoY
2017-02-28,,,-0.1599418393311569,,,,,-0.3004694835680666,,,-1.0245539657304348,,,-1.535604039135663
2017-03-01,7.6,107.6,0.026171920437367824,2.1877848678213185,0.7162067590550603,3.79098360655737,,-0.3678204281807096,1.14959823187748,1.601589025226402,-0.11424554002988918,6.415766851871263,5.04604898650451,-0.8181470404117763
2017-03-02,,,0.31901411528210133,,,,,-0.5956320317670571,,,0.09620430295609328,,,0.6644255834569623
2017-03-03,,,0.39164300793477214,,,,,-0.4246484854204202,,,0.3766313392309595,,,1.7871284515073027
2017-03-06,,,0.6392574105696491,,,,,-0.6941838649155763,,,0.49400141143260967,,,1.20904460050677
2017-03-07,,,0.5244755244755206,,,,,-0.30148859996229627,,,1.0012404749246917,,,-0.07473516811068448
2017-03-08,,,0.6891025641025728,,,,,-0.6312417561710859,,,1.5240120503278387,,,0.3441293787421973
2017-03-09,,,0.40110449062635833,,,,,0.33172211164818055,,,1.083891434614026,,,1.2670181789564694
2017-03-10,,,0.41445502799388745,,,,,1.0611084793936465,,,1.37493389740877,,,0.7196953114739557
2017-03-13,,,0.6237066829879678,,,,,0.7935008501794849,,,1.7128150514731821,,,1.8170714437442337
2017-03-14,,,0.706533614975613,,,,,0.6143667296786282,,,2.1111704970603773,,,1.6038428534779214
2017-03-15,,,0.6654532216963993,,,,,0.05647590361446131,,,2.3658601910543586,,,1.24055426761287
2017-03-16,,,0.6772009029345272,,,,,1.1301563382934754,,,0.8566839193289155,,,1.7154192902751442
2017-03-17,,,0.2994447190161953,,,,,1.6849678152215164,,,-0.8710188280837583,,,-1.0589524435678177
2017-03-20,,,0.2642736829877368,,,,,2.2826707247479483,,,-1.6251638269986879,,,-3.017699886650982
2017-03-21,,,-0.1798300316152912,,,,,2.445034116755118,,,-2.3560209424083656,,,-3.331690828773215
